HEADER,PASSION_HTC_20091105
Default,9,10
Default Car-kit,9,10
JKDAP3265,1003,1103
JKDAP3264,1004,1104
HTC BH M200,1005,1105
BH M300,1006,1106
Jabra BT530,1007,1107
Jabra BT5010,1008,1108
Jabra BT3030,1009,1109
Nokia BH-208,1010,1110
Nokia BH-703,1011,1111
Nokia BH-103,1012,1112
Samsung WEP410,1013,1113
3xxPlantronics,1014,1114
6XXPlantronics,1015,1115
8XXPlantronics,1016,1116
Motorola H710,1017,1117
Motorola H12,1018,1118
Motorola S9,1019,1119
HBH-IV840,1020,1120
HBH-PV710,1021,1121
HBH-DS220,1022,1122
HBH-DS980,1023,1123
Nexus One Car Dock,1024,1124
END
