HEADER,Mecha_HTC_20110117,
Default,1401,1501
Default Car-kit,1601,1701
Motorola H690,1402,1502
Motorola H790,1403,1503
Motorola H720,1404,1504
245Plantronics,1405,1505
390Plantronics,1406,1506
9xxPlantronics,1407,1507
PROPlantronics,1408,1508
HM1000,1409,1509
Jabra STONE,1410,1510
VBT3050,1411,1511
Jawbone,1412,1512
9xxBackBeat,1413,1513
iMT525,1414,1514
Jabra CLIPPER,1415,1515
Jabra SP700,1416,1516
Jabra Halo,1417,1517
Motorola S9,1418,1518
Motorola HT820,1419,1519
590Plantronics,1420,1520
LG HBM-800,1421,1521
Motorola HX1,1422,1522
Motorola T325,1602,1702
Motorola T605,1603,1703
BH M300,1423,1523
BHM400,1424,1524
Motorola H15,1007,1107
HBH-PV840,1009,1109
HBH-PV740,1010,1110
HBH-DS200,1011,1111
Jabra BT3030,1015,1115
Jabra BT8040,1016,1116
Nokia BH-905,1017,1117
Nokia BH-106,1018,1118
Nokia BH-216,1019,1119
Samsung WEP410,1020,1120
JKDAP3264,1001,1101
JKDAP3265,1002,1102
HBH-DS980,1012,1112
END,,
